,fromNode,toNode,weight,direction,fromAltName,toAltName
252,ENSG00000070669.16,ENSG00000258472.8,0.032538494,undirected,ASNS,AC005726
253,ENSG00000070669.16,ENSG00000259994.1,0.024683621,undirected,ASNS,AL353796
254,ENSG00000070669.16,ENSG00000260193.1,0.039682293,undirected,ASNS,AL138781
255,ENSG00000070669.16,ENSG00000260804.3,0.030872961,undirected,ASNS,LINC01963
256,ENSG00000070669.16,ENSG00000260966.1,0.038306454,undirected,ASNS,AP001486
257,ENSG00000070669.16,ENSG00000261556.9,0.034246464,undirected,ASNS,SMG1P7
258,ENSG00000070669.16,ENSG00000261845.2,0.056217313,undirected,ASNS,AC124283
259,ENSG00000070669.16,ENSG00000263235.1,0.042744035,undirected,ASNS,AC006111
260,ENSG00000070669.16,ENSG00000263874.2,0.025955523,undirected,ASNS,LINC00672
261,ENSG00000070669.16,ENSG00000267858.5,0.023654739,undirected,ASNS,MZF1-AS1
262,ENSG00000070669.16,ENSG00000267892.1,0.068925575,undirected,ASNS,AC022144
263,ENSG00000070669.16,ENSG00000268744.1,0.025909359,undirected,ASNS,AC008758
264,ENSG00000070669.16,ENSG00000268798.1,0.071150412,undirected,ASNS,AC027307
265,ENSG00000070669.16,ENSG00000269896.2,0.051123376,undirected,ASNS,AL513477
266,ENSG00000070669.16,ENSG00000271344.1,0.023875856,undirected,ASNS,AC018638
267,ENSG00000070669.16,ENSG00000272345.1,0.021255892,undirected,ASNS,AL031775
268,ENSG00000070669.16,ENSG00000272754.1,0.026912782,undirected,ASNS,AL133245
269,ENSG00000070669.16,ENSG00000273038.2,0.023307292,undirected,ASNS,AL365203
270,ENSG00000070669.16,ENSG00000273156.1,0.038304418,undirected,ASNS,AC124016
271,ENSG00000070669.16,ENSG00000273416.1,0.021527265,undirected,ASNS,AL732292
272,ENSG00000070669.16,ENSG00000273437.1,0.052673096,undirected,ASNS,AC108673
273,ENSG00000070669.16,ENSG00000273893.1,0.055277866,undirected,ASNS,AL133520
274,ENSG00000070669.16,ENSG00000277246.1,0.055651835,undirected,ASNS,AL157762
275,ENSG00000070669.16,ENSG00000277504.1,0.060969254,undirected,ASNS,AC010536
276,ENSG00000070669.16,ENSG00000277959.1,0.040474761,undirected,ASNS,AL162274
277,ENSG00000070669.16,ENSG00000278000.1,0.031542695,undirected,ASNS,AC139100
278,ENSG00000070669.16,ENSG00000279145.1,0.073393559,undirected,ASNS,AC011912
279,ENSG00000070669.16,ENSG00000279608.1,0.060373543,undirected,ASNS,AL353795
280,ENSG00000070669.16,ENSG00000279696.1,0.043882761,undirected,ASNS,AP001273
281,ENSG00000070669.16,ENSG00000279796.1,0.047306026,undirected,ASNS,AL133384
282,ENSG00000070669.16,ENSG00000279838.1,0.081067473,undirected,ASNS,AL356273
283,ENSG00000070669.16,ENSG00000279951.1,0.051232676,undirected,ASNS,AL138688
284,ENSG00000070669.16,ENSG00000280010.1,0.024237797,undirected,ASNS,AP001350
285,ENSG00000070669.16,ENSG00000280047.1,0.039006939,undirected,ASNS,AC091825
286,ENSG00000070669.16,ENSG00000280184.2,0.043755139,undirected,ASNS,AL023806
287,ENSG00000070669.16,ENSG00000280213.1,0.050879561,undirected,ASNS,UCKL1-AS1
288,ENSG00000070669.16,ENSG00000281026.1,0.038659296,undirected,ASNS,N4BP2L2-IT2
289,ENSG00000070669.16,ENSG00000283031.1,0.025388435,undirected,ASNS,AC009242
290,ENSG00000070669.16,ENSG00000283041.1,0.021523818,undirected,ASNS,AC008038
291,ENSG00000070669.16,ENSG00000284716.1,0.033726268,undirected,ASNS,AL034417
292,ENSG00000070669.16,ENSG00000284747.1,0.023076294,undirected,ASNS,AL034417
293,ENSG00000070669.16,ENSG00000285106.1,0.036176359,undirected,ASNS,AC016831
294,ENSG00000073605.18,ENSG00000074181.8,0.020971646,undirected,GSDMB,NOTCH3
295,ENSG00000073605.18,ENSG00000085999.11,0.051491697,undirected,GSDMB,RAD54L
296,ENSG00000073605.18,ENSG00000102524.11,0.048246789,undirected,GSDMB,TNFSF13B
297,ENSG00000073605.18,ENSG00000105131.7,0.066645559,undirected,GSDMB,EPHX3
298,ENSG00000073605.18,ENSG00000108641.15,0.030261142,undirected,GSDMB,B9D1
299,ENSG00000073605.18,ENSG00000116525.13,0.02368547,undirected,GSDMB,TRIM62
300,ENSG00000073605.18,ENSG00000127364.3,0.023623286,undirected,GSDMB,TAS2R4
301,ENSG00000073605.18,ENSG00000129749.3,0.065631769,undirected,GSDMB,CHRNA10
