,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000130303.12,1,2,1,0,2,7,390,267,262,266,231,72,380,232,149,92,2255,38,2211,185,268,613,287,396
ENSG00000130304.16,27,15,5,7,4,58,32,23,33,11,12,8,2,2,2,1,9,0,80,3,7,4,2,14
ENSG00000130305.16,1277,948,385,266,416,4431,592,409,354,331,372,670,1342,743,320,200,4838,423,2375,201,173,304,223,1049
ENSG00000130307.11,3,0,0,0,0,0,3,2,4,7,2,2,0,1,0,0,2,0,9,0,0,1,1,0
ENSG00000130309.10,765,731,270,212,235,1397,750,680,792,548,557,600,914,395,276,190,2965,211,4290,422,307,521,326,727
ENSG00000130311.10,706,607,206,170,223,1612,414,333,342,314,348,364,403,194,128,79,1347,119,2103,193,156,319,123,452
ENSG00000130312.6,356,391,119,105,182,958,458,531,450,231,301,245,297,92,68,103,712,90,1744,163,48,157,93,313
ENSG00000130313.6,107,78,26,24,49,539,257,167,140,176,193,136,200,116,29,68,1130,72,1268,92,65,136,136,404
ENSG00000130332.14,1267,1150,411,362,470,2863,677,515,523,439,425,559,1086,560,270,197,3848,368,3124,288,251,417,187,651
ENSG00000130338.12,260,238,72,87,55,703,435,334,463,395,365,627,220,107,114,146,1309,136,536,67,73,192,62,209
ENSG00000130340.15,258,237,146,147,85,739,163,133,247,208,98,246,107,37,51,56,326,37,1166,114,113,215,78,276
ENSG00000130347.12,67,40,24,19,27,166,85,49,50,37,38,37,55,41,25,12,230,10,456,61,44,72,25,113
ENSG00000130348.11,342,271,93,84,109,600,202,118,144,116,156,191,220,128,83,30,935,50,1002,90,69,127,107,281
ENSG00000130349.9,63,63,16,33,42,297,103,65,45,32,38,37,122,52,44,25,601,58,280,24,20,37,40,79
ENSG00000130363.11,221,213,69,130,65,609,86,50,51,98,57,99,64,30,19,21,281,38,443,47,22,83,16,148
ENSG00000130368.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000130377.13,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130382.8,224,214,45,42,77,505,275,225,238,163,150,243,306,117,80,70,919,94,774,79,39,136,48,189
ENSG00000130383.7,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000130396.20,293,296,127,140,118,1000,1363,964,1440,1367,893,1372,820,441,369,327,3489,248,3901,369,259,782,264,883
ENSG00000130402.11,6018,5723,1988,2591,2598,21366,4413,3703,4667,3450,2700,2549,13645,4707,4782,3338,49859,3816,18489,1884,1230,2754,1409,3196
ENSG00000130413.15,58,43,10,7,14,96,63,50,29,20,47,60,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000130414.11,595,572,274,197,234,1622,795,670,733,585,603,572,754,431,258,172,2750,181,1479,142,96,171,121,302
ENSG00000130427.2,1,0,0,0,0,0,84,48,23,34,45,7,0,0,1,0,8,4,1,0,0,0,0,5
ENSG00000130429.13,741,671,235,228,227,1696,669,498,525,528,428,309,1290,649,400,357,6143,177,8709,790,827,1472,904,1562
ENSG00000130433.7,0,0,0,0,1,3,1,0,0,0,1,0,8,4,4,2,49,2,460,54,47,82,48,92
ENSG00000130449.5,61,62,65,66,17,255,31,28,53,62,36,142,151,67,118,148,766,94,200,13,75,249,21,44
ENSG00000130475.14,74,63,28,27,30,160,8,0,1,4,3,2,4,0,0,0,8,0,164,18,12,20,11,18
ENSG00000130477.15,156,171,41,43,41,413,1,0,0,0,1,1,1,1,0,3,6,0,116,9,6,20,8,30
ENSG00000130479.10,425,395,221,155,88,1365,184,114,112,150,109,283,261,158,97,102,1387,85,904,73,169,193,82,294
ENSG00000130487.6,0,0,0,0,0,59,3,2,2,1,4,58,0,0,0,6,1,1,0,0,0,0,0,8
ENSG00000130508.10,122,140,59,67,23,258,0,0,0,0,0,0,7,2,3,0,11,0,1,1,0,0,0,0
ENSG00000130511.15,278,235,67,58,116,592,178,165,168,123,136,63,188,79,46,29,711,25,587,51,44,64,37,94
ENSG00000130513.6,1118,1304,3985,4296,2092,36081,11233,9093,7781,10812,30218,40758,2072,1149,1834,3516,23387,1580,58206,5397,4797,15235,11815,24626
ENSG00000130517.13,111,101,47,102,42,690,663,508,575,717,564,311,106,93,87,184,773,35,4067,346,296,850,432,903
ENSG00000130518.16,6,6,3,4,2,17,0,0,0,0,50,16,2,2,0,0,113,30,32,4,4,6,24,53
ENSG00000130520.10,1251,1271,530,460,583,3142,502,518,496,381,452,217,1345,597,410,315,5195,362,3532,335,222,436,274,749
ENSG00000130522.5,698,721,258,265,241,3098,1613,1057,1346,1844,1050,1116,591,306,172,337,4889,273,4921,422,163,818,578,1541
ENSG00000130528.11,2,3,0,0,3,6,95,57,58,104,67,24,5,0,1,1,20,1,9,0,1,6,2,2
ENSG00000130529.15,44,56,20,7,8,236,45,33,13,16,20,16,89,41,10,9,341,8,374,25,32,33,53,102
ENSG00000130540.13,11,20,8,4,6,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000130544.11,72,88,26,37,35,289,55,68,81,47,37,57,41,37,6,15,217,18,396,42,16,45,30,108
ENSG00000130545.15,22,33,20,24,19,68,54,38,39,37,21,17,65,49,38,40,157,14,354,29,24,27,29,47
ENSG00000130558.19,4,6,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ENSG00000130559.18,331,328,162,91,110,937,195,152,173,113,173,271,402,199,146,108,1588,103,586,45,60,102,55,139
ENSG00000130560.8,588,452,124,146,173,1010,298,223,203,156,168,150,508,245,142,101,1614,100,1074,116,60,163,54,222
ENSG00000130561.16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,6
ENSG00000130584.10,12,11,14,9,7,113,78,73,109,101,41,63,3,2,3,13,5,3,46,2,4,5,0,12
ENSG00000130589.16,45,51,30,19,12,214,133,101,126,125,73,114,128,67,37,50,241,55,567,39,23,63,26,116
ENSG00000130590.13,23,24,5,9,9,110,245,195,156,110,153,53,507,275,200,134,1106,90,611,45,24,70,29,138
ENSG00000130592.15,0,0,0,0,0,0,5,5,2,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000130598.15,0,0,0,0,2,0,53,46,26,43,41,20,8,11,7,2,54,0,0,0,1,1,0,0
ENSG00000130600.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,1,0
ENSG00000130612.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000130635.15,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130638.16,383,312,128,145,123,964,491,366,457,294,387,254,396,191,122,87,1686,57,1918,176,130,255,142,389
ENSG00000130640.13,411,337,146,93,105,916,444,350,455,405,360,279,983,561,355,237,3479,225,2942,242,206,389,240,711
ENSG00000130643.8,0,0,0,0,0,0,3,3,1,3,1,0,0,0,0,0,0,0,2,0,0,1,1,0
ENSG00000130649.9,0,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0,3,0,3,0,0,0,1,0
ENSG00000130653.15,3,3,1,1,0,16,18,2,10,21,17,22,1,2,2,3,64,16,20,1,3,12,2,16
ENSG00000130656.4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,2
ENSG00000130669.17,267,283,79,70,63,857,174,96,88,111,51,126,447,229,173,173,2331,131,1149,83,125,251,101,270
ENSG00000130675.14,30,43,24,12,20,124,68,62,70,38,44,32,172,45,88,93,777,46,511,54,33,48,39,125
ENSG00000130684.13,58,66,27,21,20,191,189,149,62,81,212,107,56,34,8,3,197,21,175,16,5,9,21,51
ENSG00000130695.14,170,132,58,63,59,521,80,70,57,67,52,87,117,48,56,27,646,56,201,13,23,53,19,52
ENSG00000130699.18,43,50,19,20,20,107,75,48,110,92,68,91,103,25,40,37,346,28,129,12,18,50,13,17
ENSG00000130700.6,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
ENSG00000130701.3,0,0,0,0,0,0,20,10,3,8,5,1,20,19,13,4,35,1,0,0,0,0,0,0
ENSG00000130702.15,31,49,34,21,21,154,410,361,430,266,211,64,156,75,69,76,431,39,512,56,20,63,30,58
ENSG00000130703.16,116,148,99,96,48,655,353,314,420,414,293,457,389,233,194,253,1790,127,1168,120,119,336,89,303
ENSG00000130706.12,1936,1707,682,552,632,5726,2134,1524,1770,1429,1643,1852,3400,1693,1096,517,10119,762,7375,579,537,1408,507,1630
