ENSG00000010318.20,ENSG00000010318,20,ENSG00000010318,PHF7
ENSG00000010319.6,ENSG00000010319,6,ENSG00000010319,SEMA3G
ENSG00000010322.15,ENSG00000010322,15,ENSG00000010322,NISCH
ENSG00000010327.10,ENSG00000010327,10,ENSG00000010327,STAB1
ENSG00000010361.13,ENSG00000010361,13,ENSG00000010361,FUZ
ENSG00000010379.15,ENSG00000010379,15,ENSG00000010379,SLC6A13
ENSG00000010404.17,ENSG00000010404,17,ENSG00000010404,IDS
ENSG00000010438.16,ENSG00000010438,16,ENSG00000010438,PRSS3
ENSG00000010539.11,ENSG00000010539,11,ENSG00000010539,ZNF200
ENSG00000010610.9,ENSG00000010610,9,ENSG00000010610,CD4
ENSG00000010626.14,ENSG00000010626,14,ENSG00000010626,LRRC23
ENSG00000010671.15,ENSG00000010671,15,ENSG00000010671,BTK
ENSG00000010704.18,ENSG00000010704,18,ENSG00000010704,HFE
ENSG00000010803.16,ENSG00000010803,16,ENSG00000010803,SCMH1
ENSG00000010810.17,ENSG00000010810,17,ENSG00000010810,FYN
ENSG00000010818.9,ENSG00000010818,9,ENSG00000010818,HIVEP2
ENSG00000011007.12,ENSG00000011007,12,ENSG00000011007,ELOA
ENSG00000011009.10,ENSG00000011009,10,ENSG00000011009,LYPLA2
ENSG00000011021.21,ENSG00000011021,21,ENSG00000011021,CLCN6
ENSG00000011028.13,ENSG00000011028,13,ENSG00000011028,MRC2
ENSG00000011083.8,ENSG00000011083,8,ENSG00000011083,SLC6A7
ENSG00000011105.12,ENSG00000011105,12,ENSG00000011105,TSPAN9
ENSG00000011114.14,ENSG00000011114,14,ENSG00000011114,BTBD7
ENSG00000011132.11,ENSG00000011132,11,ENSG00000011132,APBA3
ENSG00000011143.16,ENSG00000011143,16,ENSG00000011143,MKS1
ENSG00000011198.8,ENSG00000011198,8,ENSG00000011198,ABHD5
ENSG00000011243.17,ENSG00000011243,17,ENSG00000011243,AKAP8L
ENSG00000011258.15,ENSG00000011258,15,ENSG00000011258,MBTD1
ENSG00000011260.13,ENSG00000011260,13,ENSG00000011260,UTP18
ENSG00000011275.18,ENSG00000011275,18,ENSG00000011275,RNF216
ENSG00000011295.15,ENSG00000011295,15,ENSG00000011295,TTC19
ENSG00000011304.19,ENSG00000011304,19,ENSG00000011304,PTBP1
ENSG00000011332.19,ENSG00000011332,19,ENSG00000011332,DPF1
ENSG00000011347.9,ENSG00000011347,9,ENSG00000011347,SYT7
ENSG00000011376.10,ENSG00000011376,10,ENSG00000011376,LARS2
ENSG00000011405.13,ENSG00000011405,13,ENSG00000011405,PIK3C2A
ENSG00000011422.11,ENSG00000011422,11,ENSG00000011422,PLAUR
ENSG00000011426.10,ENSG00000011426,10,ENSG00000011426,ANLN
ENSG00000011451.18,ENSG00000011451,18,ENSG00000011451,WIZ
ENSG00000011454.16,ENSG00000011454,16,ENSG00000011454,RABGAP1
ENSG00000011465.16,ENSG00000011465,16,ENSG00000011465,DCN
ENSG00000011478.11,ENSG00000011478,11,ENSG00000011478,QPCTL
ENSG00000011485.14,ENSG00000011485,14,ENSG00000011485,PPP5C
ENSG00000011523.13,ENSG00000011523,13,ENSG00000011523,CEP68
ENSG00000011566.14,ENSG00000011566,14,ENSG00000011566,MAP4K3
ENSG00000011600.11,ENSG00000011600,11,ENSG00000011600,TYROBP
ENSG00000011638.10,ENSG00000011638,10,ENSG00000011638,TMEM159
ENSG00000011677.12,ENSG00000011677,12,ENSG00000011677,GABRA3
ENSG00000012048.21,ENSG00000012048,21,ENSG00000012048,BRCA1
ENSG00000012061.15,ENSG00000012061,15,ENSG00000012061,ERCC1
ENSG00000012124.16,ENSG00000012124,16,ENSG00000012124,CD22
ENSG00000012171.19,ENSG00000012171,19,ENSG00000012171,SEMA3B
ENSG00000012174.11,ENSG00000012174,11,ENSG00000012174,MBTPS2
ENSG00000012211.12,ENSG00000012211,12,ENSG00000012211,PRICKLE3
ENSG00000012232.8,ENSG00000012232,8,ENSG00000012232,EXTL3
